wikidata_id,wikidata_label,wikidata_description,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,external_id_claims
Q39060777,Fred David,austrian-born aircraft designer,['Q5'],['Q408'],['Q1741'],['+1898-10-01T00:00:00Z'],['Q10497074'],"{'P214': ['72451995'], 'P2671': ['/g/11fylss0s7'], 'P227': ['128724668'], 'P10832': ['E39PBJv4gVDjWKj8MRThQhbGHC']}"
Q102380484,Fred David John Bowden,Ph.D. University of Adelaide 2001,['Q5'],[],[],[],[],"{'P549': ['154194'], 'P4955': ['665496']}"
Q102512382,Fred D. Arditti,Ph.D. Massachusetts Institute of Technology 1966,['Q5'],['Q30'],['Q18426'],['+1939-01-30T00:00:00Z'],['Q188094'],"{'P549': ['207438'], 'P2671': ['/g/11fhsd0_ds'], 'P214': ['11869039'], 'P213': ['0000000067755441'], 'P244': ['no91008475'], 'P3368': ['198566'], 'P1207': ['n2011165937'], 'P8189': ['987007340541605171']}"
Q139163344,,,['Q5'],[],[],['+1950-01-01T00:00:00Z'],[],"{'P227': ['120612305'], 'P7902': ['120612305'], 'P13049': ['120612305'], 'P214': ['42674091']}"
Q5495438,Fred Herbold,American football coach,['Q5'],['Q30'],['Q171224'],['+1875-09-25T00:00:00Z'],"['Q3246315', 'Q41583', 'Q42331263']","{'P18': ['Frank Herbold.jpg'], 'P535': ['5910409'], 'P3560': ['1039'], 'P646': ['/m/02qq_n9'], 'P3368': ['2447241'], 'P2949': ['Herbold-102'], 'P8777': ['37165']}"
Q1292980,Edward McDonnell,producer,['Q5'],['Q27'],['Q1761'],['+1806-01-01T00:00:00Z'],['Q43845'],{'P2671': ['/g/1238g5xd']}
Q126811289,Edward McDonnell,Irish politician and businessman (1806–1860,['Q5'],[],[],['+1806-01-01T00:00:00Z'],[],{}
Q121357809,Edward McDonnell,,['Q5'],[],[],[],['Q47541952'],{'P7003': ['creators/79427']}
Q5344694,Edward Orrick McDonnell,United States Navy Medal of Honor recipient,['Q5'],['Q30'],['Q5092'],['+1891-11-13T00:00:00Z'],"['Q189290', 'Q108114975', 'Q2961975']","{'P18': ['Edward O. McDonnell 2.jpg'], 'P535': ['7878300'], 'P373': ['Edward O. McDonnell'], 'P646': ['/m/05p98qs'], 'P2949': ['McDonnell-1919'], 'P3368': ['1045094'], 'P2600': ['6000000184332477830'], 'P1442': ['Medal of Honor recipient gravestone in Arlington National Cemetery, Arlington, Virginia in the 2020s - 296.jpg'], 'P1869': ['756'], 'P13443': ['edward-o-mcdonnell']}"
Q115745658,Edward McDonnell Lake,"lake in Manitoba, Canada",['Q23397'],[],[],[],[],{'P821': ['GBVAA']}
Q1538942,Jay Barney,American economist,['Q5'],['Q30'],['Q493261'],['+1954-00-00T00:00:00Z'],"['Q188094', 'Q1622272']","{'P244': ['n86147003'], 'P227': ['123872200'], 'P1006': ['072398361'], 'P691': ['vse2007365235'], 'P349': ['00937338'], 'P213': ['0000000109213801'], 'P409': ['35925845'], 'P271': ['DA01098361'], 'P3987': ['144538'], 'P269': ['033965889'], 'P268': ['12476931s'], 'P214': ['85286436'], 'P18': ['Jay B. Barney.jpg'], 'P373': ['Jay B. Barney'], 'P5034': ['KAC200003193'], 'P1207': ['n2004034055'], 'P646': ['/m/05vk45d'], 'P7293': ['9810659793105606'], 'P10553': ['583277861'], 'P8189': ['987007434880005171'], 'P11496': ['1140282266815722752'], 'P11182': ['15348'], 'P10832': ['E39PBJrrvBJHgTpJGgJCMj3vpP'], 'P1368': ['000133655'], 'P1315': ['1148574'], 'P13591': ['person/c75591ad-ddb5-4b54-8962-36760630fade'], 'P13951': ['467344', '772690'], 'P496': ['0000-0003-0875-6702'], 'P3747': ['896023', '295356']}"
Q48774003,Jay Barney,American actor (1913-1985),['Q5'],['Q30'],['Q1297'],['+1913-03-14T00:00:00Z'],['Q33999'],"{'P1220': ['30968'], 'P345': ['nm0056020'], 'P2671': ['/g/11gf62hsjf'], 'P4985': ['153414'], 'P9995': ['127005'], 'P244': ['n82161958'], 'P214': ['13667567'], 'P213': ['0000000026199194'], 'P10302': ['dzhey-barni'], 'P12098': ['836412'], 'P10832': ['E39PCjwTvCKjFQ4ppVrJHpvwT3'], 'P9662': ['98836'], 'P5340': ['79817'], 'P2605': ['341887'], 'P14750': ['F812-E1B1-730F-5D81-0557']}"
Q112444979,Jeffrey H. Dyer,,['Q5'],[],[],['+1959-00-00T00:00:00Z'],['Q121594'],"{'P691': ['vse2011667907'], 'P214': ['103728784'], 'P213': ['0000000040267843'], 'P1207': ['n2015180611'], 'P244': ['n00089310'], 'P269': ['061489565'], 'P268': ['16679087j'], 'P8189': ['987007433869205171'], 'P227': ['15675634X', '14018354X'], 'P950': ['XX5226318'], 'P7293': ['9810634451105606'], 'P9984': ['981058515682406706'], 'P11686': ['981058515682406706'], 'P5034': ['KAC201201581'], 'P1368': ['000336536'], 'P13591': ['person/28006c13-4f12-463c-afb6-660ccee2d75f']}"
Q105221977,Paul Godfrey,Royal Air Force officer,['Q5'],['Q145'],[],[],"['Q19934710', 'Q2095549']","{'P2671': ['/g/11qybmwp7k'], 'P18': ['Commander, UK Space Command Air Vice-Marshal Paul Godfrey OBE, MA, FRAeS (cropped).jpg'], 'P373': ['Paul Godfrey (RAF)']}"
Q126848216,Paul Godfrey,candidate in the 2024 United Kingdom general election,['Q5'],['Q145'],[],[],[],{'P6465': ['98111']}
Q99701129,Paul David Godfrey,British musician,['Q5'],['Q145'],['Q2621103'],['+1972-01-19T00:00:00Z'],['Q639669'],"{'P8301': ['9606'], 'P434': ['6c230e5a-dcf1-454b-8348-b71a0baf7f73'], 'P1828': ['00258091652'], 'P213': ['000000005698234X'], 'P1953': ['280652']}"
Q7150926,Paul Godfrey,Canadian politician and businessman (born 1939),['Q5'],['Q16'],['Q172'],['+1939-01-01T00:00:00Z'],['Q43845'],"{'P345': ['nm2500905'], 'P18': ['Paul Godfrey.jpg'], 'P646': ['/m/05ktld'], 'P373': ['Paul Godfrey'], 'P8951': ['146-8254']}"
Q12333603,Robert Jensen,,['Q5'],['Q756617'],[],['+1900-08-15T00:00:00Z'],[],"{'P373': ['Robert Jensen (1900-1944)'], 'P18': ['Jensen Robert.jpg'], 'P8341': ['Robert_Jensen'], 'P4359': ['robertjensen'], 'P8313': ['Robert_Jensen'], 'P10951': ['106289']}"
Q102395050,Robert Jensen,Ed.D. University of Georgia 1984,['Q5'],[],[],[],[],{'P549': ['161946']}
Q122921281,Robert Jensen,American designer (born 1950),['Q5'],['Q30'],[],['+1950-00-00T00:00:00Z'],['Q5322166'],"{'P6645': ['26811-robert-jensen'], 'P245': ['500660255'], 'P650': ['384045'], 'P13591': ['person/77ea717e-55dc-40a1-a2ef-efd608902cd9']}"
Q111819028,Robert Jensen,"American architect and architectural historian, 1938-1990",['Q5'],['Q30'],['Q968976'],['+1938-01-01T00:00:00Z'],"['Q42973', 'Q11486702']","{'P1315': ['1282905'], 'P2163': ['1452135'], 'P214': ['110299327'], 'P227': ['174326432'], 'P244': ['n82040569'], 'P1207': ['n2007079665'], 'P1006': ['069728402'], 'P5361': ['JensenRobert1938-'], 'P213': ['0000000084650430'], 'P7400': ['jensenrobert-2'], 'P5508': ['12631'], 'P13591': ['person/cd69aa31-8bbb-4bff-8cbf-b769a53cd005'], 'P8189': ['987012747879605171']}"
Q48743679,Robert Jensen,American economist,['Q5'],[],[],"['+1970-12-20T00:00:00Z', '+1970-00-00T00:00:00Z']",['Q188094'],"{'P1960': ['YDdLZhkAAAAJ'], 'P214': ['45494359'], 'P213': ['0000000049191742'], 'P244': ['nr98018068'], 'P227': ['133538818'], 'P1006': ['30357755X'], 'P2671': ['/g/11hbqkshvt'], 'P10832': ['E39PBJfcRdF88P34DWd9yqMtrq']}"
Q113953885,David Bryce,ceramicist and sculptor,['Q5'],[],[],[],"['Q7541856', 'Q1281618']",{}
Q59827905,David L Bryce,researcher ORCID ID = 0000-0001-9989-796X,['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0001-9989-796X'], 'P1053': ['A-3534-2008'], 'P1153': ['7006138678'], 'P856': ['https://science.uottawa.ca/chemistry/people/bryce-david']}"
Q5231854,David Bryce,Scottish architect (1803-1876),['Q5'],['Q145'],[],['+1803-04-03T00:00:00Z'],['Q42973'],"{'P214': ['57860097'], 'P245': ['500027345'], 'P2268': ['107895'], 'P373': ['David Bryce'], 'P2163': ['19988'], 'P648': ['OL6108599A'], 'P244': ['n77000271'], 'P646': ['/m/05nfp3'], 'P3782': ['david-bryce'], 'P3029': ['F54914'], 'P1415': ['3797'], 'P1442': [""David Bryce's grave (sunny).JPG""], 'P5308': ['100014'], 'P213': ['0000000067073678'], 'P5508': ['9882'], 'P5361': ['BryceDavid1803-1876'], 'P6578': ['1EB01FAC4F9799E1'], 'P7349': ['20'], 'P1367': ['bryce-david-18031876'], 'P4432': ['10144717'], 'P18': ['David Bryce by George McCallum, SNPG.JPG'], 'P7848': ['991004214289707141'], 'P7545': ['11288123'], 'P12582': ['20110803095532737'], 'P10832': ['E39PBJfRFRpFdJb4Vwty79PG73'], 'P396': ['CFIV220782'], 'P13591': ['person/3e4f7c22-5afe-4b4e-af65-9159f05d06c6']}"
Q42268707,David Bryce Yaden,researcher,['Q5'],[],[],[],"['Q1650915', 'Q212980', 'Q901', 'Q1622272']","{'P496': ['0000-0002-9604-6227'], 'P1153': ['57205255274'], 'P6178': ['010423061131.20'], 'P5739': ['155304'], 'P12458': ['670742'], 'P227': ['1077792352'], 'P13049': ['1077792352'], 'P214': ['165144782958683486397'], 'P691': ['jo20261304720'], 'P10553': ['837505348']}"
Q20638853,David Lawrence Bryce,Scottish marine zoologist,['Q5'],[],[],['+1852-00-00T00:00:00Z'],['Q350979'],"{'P646': ['/m/013chstf'], 'P3368': ['2538102']}"
Q55622741,Melissa Schilling,American innovation scholar and professor,['Q5'],[],[],[],"['Q901', 'Q188094']","{'P2671': ['/g/11gjhfr0f7'], 'P691': ['utb2010570244'], 'P9743': ['107aNAQz7U'], 'P269': ['093542992'], 'P214': ['17509593'], 'P496': ['0000-0002-3573-7614'], 'P213': ['000000001117025X'], 'P244': ['no98117564'], 'P11686': ['981058608456506706'], 'P9984': ['981058608456506706'], 'P227': ['136245463'], 'P11182': ['190837'], 'P8189': ['987007423869705171'], 'P1280': ['81142115'], 'P3987': ['437663'], 'P5034': ['KAC200612053'], 'P13591': ['person/6f11c7fe-0cce-49ae-9346-6d5b244711ad'], 'P648': ['OL2640351A'], 'P12458': ['346797'], 'P3747': ['341752']}"
Q29032387,Garth Saloner,South African-born American economist,['Q5'],[],[],"['+1955-00-00T00:00:00Z', '+1955-01-18T00:00:00Z']","['Q188094', 'Q3400985', 'Q1622272', 'Q84506120']","{'P227': ['170058786'], 'P214': ['72864360'], 'P1006': ['074816047'], 'P1207': ['n2003028379'], 'P646': ['/m/05xk35k'], 'P3987': ['118406'], 'P549': ['207269'], 'P4955': ['241791'], 'P244': ['n86005014'], 'P856': ['https://www.gsb.stanford.edu/faculty-research/faculty/garth-saloner'], 'P3368': ['849764'], 'P8189': ['987007423791205171'], 'P269': ['06096510X'], 'P213': ['0000000116709952'], 'P10832': ['E39PBJdcyq8f6kbrfrkP9pHXBP'], 'P13591': ['person/17d9c48a-c9e8-421e-bbfb-8bc962ca7063']}"
Q6213706,Joel M. Podolny,American sociologist,['Q5'],['Q30'],['Q30'],['+1950-00-00T00:00:00Z'],"['Q2306091', 'Q188094']","{'P214': ['59382540'], 'P244': ['nr97042060'], 'P227': ['128545879'], 'P1006': ['175326533'], 'P213': ['0000000115718857'], 'P3987': ['438132'], 'P1207': ['n2008044406'], 'P646': ['/m/0bbfhn'], 'P1280': ['168376675'], 'P8189': ['987007440061905171'], 'P269': ['094209812'], 'P6634': ['joel-podolny-58395a63'], 'P10832': ['E39PBJtRMdMWJTRbCFcjCk6Yfq'], 'P13591': ['person/0b32c98e-f738-45d8-bc36-6136ff852dce']}"
Q16150461,Alan M. Rugman,,['Q5'],[],[],['+1945-01-01T00:00:00Z'],['Q3400985'],"{'P227': ['129694010'], 'P214': ['108347321'], 'P244': ['n79024681'], 'P268': ['12279817b'], 'P269': ['031617484'], 'P349': ['00454948'], 'P1015': ['90062624'], 'P1207': ['n2004078451'], 'P213': ['0000000124203345'], 'P1368': ['000011412'], 'P2163': ['32212'], 'P1006': ['067494412'], 'P691': ['vse2008429980'], 'P1580': ['a1078756'], 'P3029': ['F252724'], 'P646': ['/m/05ydx6f'], 'P3987': ['124051'], 'P1280': ['21266019'], 'P9984': ['981058513993506706'], 'P8189': ['987007267353005171'], 'P11249': ['14011925'], 'P11686': ['981058513993506706'], 'P11182': ['10127'], 'P10832': ['E39PBJg4gFChdfYpJxCcdWxVYP'], 'P13591': ['person/bbc7d0a4-02bb-4d20-888f-aee7ac80c662']}"
Q41802895,Alan M. Rugman,economist,['Q5'],[],[],[],['Q188094'],{'P2428': ['pru83']}
Q112395567,Richard M. Hodgetts,,['Q5'],[],[],['+1942-00-00T00:00:00Z'],['Q121594'],"{'P691': ['vse2006316099'], 'P214': ['11018458'], 'P1207': ['n97034927'], 'P3368': ['850710'], 'P5739': ['37746'], 'P244': ['n78079497'], 'P213': ['0000000115949209'], 'P2163': ['27580'], 'P8189': ['987007451995605171'], 'P3987': ['111108'], 'P269': ['06083112X'], 'P227': ['132843811'], 'P11496': ['1140845216752554368'], 'P271': ['DA00370065'], 'P11249': ['14439934'], 'P11182': ['8440'], 'P12458': ['115486'], 'P1368': ['000011413'], 'P13591': ['person/fa168640-a0e5-48ea-a3a9-c08108f2d85d'], 'P13906': ['146593'], 'P13862': ['richard-m-hodgetts']}"
Q111357384,Mark Harrison Moore,,['Q5'],[],[],['+1947-01-01T00:00:00Z'],['Q185351'],"{'P5731': ['3086'], 'P214': ['14203447'], 'P227': ['111593956'], 'P244': ['n81070755'], 'P268': ['13608868c'], 'P269': ['078523842'], 'P691': ['jn20020721298'], 'P1015': ['12064687'], 'P1207': ['n2011106337'], 'P1006': ['069200998'], 'P8189': ['987007400417405171'], 'P213': ['0000000040108877'], 'P11249': ['14383885'], 'P12458': ['36635'], 'P13049': ['111593956'], 'P13591': ['person/e86b6a76-475b-4a26-80b0-635e318e3b47']}"
Q124637186,Philippe Lasserre,,['Q5'],[],['Q1479'],['+1939-01-01T00:00:00Z'],['Q1622272'],"{'P691': ['mzk20231206581'], 'P13591': ['person/f76b43fc-3dce-415f-b8db-29e833ab358f'], 'P227': ['1275111432'], 'P13049': ['1275111432'], 'P213': ['000000011472581X'], 'P214': ['51802237'], 'P1207': ['n2004036390'], 'P1280': ['33257827']}"
Q13377535,John Adrian Naicker Parnell,botanist,['Q5'],[],[],['+1954-01-01T00:00:00Z'],"['Q2374149', 'Q1622272']","{'P428': ['J.Parn.'], 'P586': ['12439-1'], 'P214': ['48654402'], 'P244': ['n2006047815'], 'P268': ['16169787d'], 'P269': ['119764490'], 'P1015': ['7025268'], 'P213': ['0000000124177183'], 'P1006': ['300254261'], 'P496': ['0000-0002-1624-8807'], 'P4012': ['144171377'], 'P6264': ['83216', '6384'], 'P8189': ['987007334406505171'], 'P10832': ['E39PBJgxvDJbYMTFjqJpbh67pP'], 'P13591': ['person/3b3b2f80-40a3-4808-99c6-c72422b357f4'], 'P691': ['xx0334820']}"
Q6240076,John Howard Parnell,British politician,['Q5'],[],[],['+1843-01-01T00:00:00Z'],['Q82955'],"{'P214': ['246596604'], 'P2015': ['mr-john-parnell'], 'P2029': ['1384'], 'P2949': ['Parnell-562'], 'P3430': ['w6w68z4c'], 'P4159': ['John_Parnell_(13)'], 'P4638': ['p24735.htm#i247346'], 'P213': ['0000000385923113'], 'P3051': ['I16237'], 'P4471': ['2728'], 'P244': ['no2018101621'], 'P2600': ['6000000017309804094'], 'P6829': ['007203'], 'P646': ['/m/02ql56t'], 'P2171': ['16200'], 'P10832': ['E39PBJdMfbMCHkVFQgp7FYFVG3']}"
Q16844952,John Parnell,English cricketer (1811-1859),['Q5'],['Q174193'],[],['+1811-08-14T00:00:00Z'],['Q12299841'],"{'P2698': ['37454'], 'P4638': ['p825.htm#i8242'], 'P3051': ['I16184'], 'P2949': ['Parnell-434'], 'P2671': ['/g/11byv92j57'], 'P3368': ['2228373'], 'P1599': ['PNL831JH'], 'P8168': ['Q1199069']}"
Q25927628,"John Parnell, 6th Baron Congleton",peer (1892-1932),['Q5'],"['Q145', 'Q174193']",[],['+1892-05-16T00:00:00Z'],['Q82955'],"{'P2015': ['mr-john-parnell-1'], 'P4638': ['p1404.htm#i14039'], 'P3074': ['John_Brooke_Molesworth_Parnell'], 'P2949': ['Parnell-1272'], 'P2600': ['6000000005620165070'], 'P1819': ['I00272492'], 'P4789': ['U207799'], 'P10849': ['7071'], 'P2671': ['/g/11c0v5nqhl']}"
Q6251959,"John Parnell, 2nd Baron Congleton",British baron,['Q5'],['Q174193'],[],['+1805-00-00T00:00:00Z'],"['Q219477', 'Q432386', 'Q82955']","{'P2015': ['mr-john-parnell-2'], 'P648': ['OL4780144A'], 'P4159': ['John_Parnell_(11)'], 'P1415': ['21389'], 'P2949': ['Parnell-957'], 'P4638': ['p1749.htm#i17490'], 'P2600': ['6000000025276849342'], 'P646': ['/m/02qbj91'], 'P3368': ['2238421'], 'P10849': ['7067']}"
Q112451990,Peter M. Ginter,,['Q5'],[],[],['+1946-00-00T00:00:00Z'],['Q188094'],"{'P691': ['utb2012700079'], 'P214': ['51858500'], 'P213': ['0000000116419904'], 'P244': ['n84153362'], 'P1207': ['n97029363'], 'P8189': ['987007455103405171'], 'P3987': ['594611'], 'P269': ['05265947X'], 'P227': ['133490742'], 'P11249': ['13998035'], 'P11496': ['1140000791857389568'], 'P271': ['DA03593000'], 'P11182': ['49729'], 'P13591': ['person/9c3d1c7a-dab8-4442-8164-dce19cc5421c'], 'P7293': ['9810623474205606']}"
Q64706294,Linda E. Swayne,"American academic, professor of marketing, researcher",['Q5'],['Q30'],[],['+1946-01-01T00:00:00Z'],"['Q121594', 'Q1650915', 'Q1622272']","{'P214': ['10015791'], 'P227': ['133490785'], 'P244': ['n88026605'], 'P268': ['13572506t'], 'P269': ['085981869'], 'P691': ['utb2012700073'], 'P1015': ['90398473'], 'P1207': ['n97029364'], 'P1006': ['075091054'], 'P856': ['https://belkcollege.uncc.edu/directory/linda-swayne'], 'P6634': ['linda-swayne-1b585a13'], 'P213': ['0000000115935368'], 'P1607': ['483515'], 'P1280': ['100257635'], 'P271': ['DA03592981'], 'P8179': ['ncf12119114'], 'P8189': ['987007442353805171'], 'P7293': ['9810694554805606'], 'P3065': ['A003878773'], 'P3987': ['594613', '373872'], 'P11249': ['13998037'], 'P11496': ['1140000791790437120'], 'P11182': ['49730'], 'P10832': ['E39PBJkdk9Vdm3CT4MTG8yDXh3'], 'P13591': ['person/aac8d3d0-fba9-4305-a8c0-bf41fbb3152f'], 'P646': ['/m/05x3kck']}"
Q115678119,David Williamson,hospitality researcher in New Zealand,['Q5'],[],[],[],['Q1622272'],"{'P973': ['http://hdl.handle.net/10292/765'], 'P496': ['0000-0003-3826-7889'], 'P10283': ['A5036397982']}"
Q110228931,David Williamson,American metal artist (born 1949),['Q5'],['Q30'],['Q578328'],['+1949-00-00T00:00:00Z'],"['Q15980591', 'Q2519376']",{'P1795': ['29017']}
Q113867189,David Williamson,"Jeweler in Berea, OH",['Q5'],[],[],[],['Q336221'],{}
Q112406600,David Williamson,American author and Civil War historian,['Q5'],['Q30'],['Q163132'],['+1942-11-21T00:00:00Z'],"['Q36180', 'Q201788']","{'P691': ['jo2007399950'], 'P214': ['11681882'], 'P213': ['0000000114878437'], 'P244': ['n2003051656'], 'P6634': ['david-williamson-7b248a71', 'david-williamson-78431964'], 'P11870': ['4740']}"
Q968980,David Williamson,Australian dramatist and playwright,['Q5'],['Q408'],['Q3141'],['+1942-02-24T00:00:00Z'],"['Q214917', 'Q28389', 'Q487596', 'Q2707485', 'Q1823479', 'Q2737906', 'Q2526255', 'Q13235160']","{'P268': ['121564486'], 'P646': ['/m/02mkpk'], 'P345': ['nm0932011'], 'P2163': ['1858248'], 'P1266': ['40259'], 'P2019': ['p116921'], 'P2604': ['91145'], 'P2435': ['141728'], 'P2626': ['17072'], 'P2168': ['91005'], 'P2519': ['21291'], 'P2387': ['1501027', '103030'], 'P648': ['OL2837853A'], 'P244': ['n50018995'], 'P1220': ['5021'], 'P1015': ['90406960'], 'P1207': ['n00048283'], 'P1006': ['068370040'], 'P3219': ['david-williamson'], 'P5068': ['1925972', '1893780'], 'P1417': ['biography/David-Williamson'], 'P213': ['0000000114761730'], 'P214': ['84243099'], 'P269': ['030075335'], 'P950': ['XX1167743'], 'P3987': ['233746'], 'P691': ['js20051226031'], 'P5361': ['WilliamsonDavid1942February24-'], 'P1280': ['8331107'], 'P3430': ['w6wh2vks'], 'P5019': ['williamson-david-keith'], 'P8295': ['A21523'], 'P856': ['https://www.davidwilliamsonplaywright.com'], 'P7982': ['66183'], 'P2963': ['84372'], 'P8385': ['32237'], 'P1801': ['David Williamson Sydney Writers Walk plaque.jpg'], 'P6683': ['146555'], 'P7293': ['9810699691805606'], 'P4342': ['David_Williamson'], 'P4985': ['121634'], 'P18': ['David Williamson 1972 (cropped).jpg'], 'P8179': ['ncf11956748'], 'P3846': ['87097969752411'], 'P227': ['119328089'], 'P8189': ['987007451552405171'], 'P271': ['DA08278576'], 'P409': ['35611097'], 'P1375': ['000027092'], 'P1953': ['2428059'], 'P3368': ['637082'], 'P3630': ['263472'], 'P4666': ['22459'], 'P373': ['David Williamson'], 'P10302': ['devid-uilyamson'], 'P11496': ['1140282266815041664'], 'P3794': ['person/williamson_david'], 'P7003': ['creators/76438'], 'P12098': ['920430'], 'P12674': ['Q155283'], 'P10832': ['E39PBJkT6C9kVpt3Hgryxrmw4q'], 'P2949': ['Williamson-21396'], 'P10608': ['agent/gnd_119328089'], 'P9662': ['336014'], 'P1315': ['544077'], 'P349': ['032697385'], 'P12854': ['5d7768373c3c2a001fbceb72'], 'P13591': ['person/3e1a336d-1863-41a7-8ccc-bd404262b969'], 'P3222': ['david-williamson'], 'P7184': ['02mkpk'], 'P7902': ['119328089'], 'P2605': ['447104'], 'P14225': ['981005686056909366'], 'P14750': ['B74C-C0F8-74FB-254D-841A'], 'P7553': ['825550']}"
Q139466730,,,['Q5'],[],[],[],"['Q9379869', 'Q1622272']",{'P691': ['ntk20201071479']}
Q23990310,"Miller, Alexander (NBD)",entry in the Naval Biographical Dictionary,['Q19389637'],[],[],[],[],{'P996': ['A Naval Biographical Dictionary.djvu']}
Q110138628,"Miller, Alexander Edward",entry in Men-at-the-Bar,['Q19389637'],[],[],[],[],{'P304': ['317']}
Q124741367,Allen C. Amason,scientist,['Q5'],[],[],[],"['Q901', 'Q1622272']","{'P691': ['xx0269462'], 'P213': ['0000000047051113'], 'P3987': ['476271'], 'P214': ['58901229']}"
Q112390986,John L. Thompson,,['Q5'],[],[],['+1931-00-00T00:00:00Z'],"['Q121594', 'Q1622272']","{'P691': ['vse2005278945'], 'P214': ['1316156012373649700000'], 'P244': ['n78080449'], 'P3987': ['115706'], 'P1368': ['000026337'], 'P13591': ['person/7429b096-6829-42cb-89e0-f9722162b6eb'], 'P11182': ['2190'], 'P13204': ['dt3jtcbh'], 'P8189': ['987007422470405171']}"
Q6243715,John L. Thompson,American journalist (1869–1930),['Q5'],['Q30'],[],['+1869-04-03T00:00:00Z'],['Q1930187'],"{'P6851': ['377'], 'P646': ['/m/06jfcm'], 'P2949': ['Thompson-95702'], 'P13591': ['person/8ba2615e-5c2a-487d-90b8-3f7a6954ceb2']}"
Q18808917,John Thompson,"Australian rules footballer, born 1938",['Q5'],[],['Q816673'],['+1938-06-21T00:00:00Z'],"['Q13414980', 'Q361593']","{'P3547': ['J/John_Thompson1'], 'P3546': ['9085'], 'P646': ['/m/012mgzf5'], 'P535': ['60838725']}"
Q16850534,John L. Thompson House,"historic house in The Dalles, Oregon, United States",['Q3947'],[],[],[],[],"{'P649': ['80003390'], 'P18': ['Thompson House - The Dalles Oregon.jpg'], 'P646': ['/m/010gkmgz'], 'P8177': ['39112']}"
